timestamp,experiment,git_commit,git_dirty,summary,file
2026-09-23T18:55:08,e1_loudness_probe,702fe35,True,c_v4: P>=0.5 from RMS 0.05; c_seed42: P>=0.5 from RMS 0.05; c_seed123: P>=0.5 from RMS 0.03; d: P>=0.5 from RMS 0.05; mend: P>=0.5 from RMS 1.0,2026-09-23_185508_e1_loudness_probe.json
2026-09-23T20:21:46,e4_mendeley_eval,38661dd,False,"clean Looped AUROC: c_v4 z=0.401/fixed=0.404, c_seed42 z=0.710/fixed=0.727, d z=0.771/fixed=0.374, mend z=0.388/fixed=0.525; rms 0.207; logreg 0.097",2026-09-23_202146_e4_mendeley_eval.json
2026-09-23T20:22:04,e2_shortcut_audit,38661dd,True,"L-TOWN: rms 0.855, model 1.000, noDC 1.000; KY15: rms 0.850, model 1.000, noDC 1.000; Richmond: rms 0.769, model 1.000, noDC 1.000",2026-09-23_202204_e2_shortcut_audit.json
2026-09-23T20:24:25,e3_snr_sweep,38661dd,True,"L-TOWN: native 1.000, -20dB 0.899; KY15: native 1.000, -20dB 0.859; Richmond: native 1.000, -20dB 0.876",2026-09-23_202425_e3_snr_sweep.json
2026-09-23T20:41:35,e5_label_efficiency,38661dd,True,"scratch @0.01: 0.514, @1: 0.561; pretrained @0.01: 0.524, @1: 0.218; probe @0.01: 0.624, @1: 0.416; logreg @0.01: 0.539, @1: 0.097",2026-09-23_204135_e5_label_efficiency.json
2026-09-23T23:14:20,e10_sheffield_calibration,5d75924,True,"atten dB/m (median by band): 20-50 0.64, 50-100 0.69, 100-200 0.78, 200-400 0.92, 400-800 2.47, 800-1600 0.24, 1600-3200 0.18; leak peak 471 Hz; c 3.6mmDirect_2.8bar 247 m/s, 3mmValve_2.8bar 264 m/s",2026-09-23_231420_e10_sheffield_calibration.json
2026-09-23T23:28:19,e10_sheffield_calibration,98ebe5a,True,"atten dB/m (median by band): 20-50 0.64, 50-100 0.69, 100-200 0.78, 200-400 0.92, 400-800 2.47, 800-1600 0.24, 1600-3200 0.18; leak peak 471 Hz; c 3.6mmDirect_2.8bar 247 m/s, 3mmValve_2.8bar 264 m/s",2026-09-23_232819_e10_sheffield_calibration.json
